order_id,review_score,review_comment_message,review_comment_title
64a9f2b487f66506d463ca18152280e8,1,O mocho não tem nem 6 meses de uso e a parte da estrutura já está rachando! Produto de péssima qualidade!,Produto ruim
ef32bb24f4e81a29a305e5285c8d3d34,1,"Simplesmente cancelaram a compra a nem tentaram dar uma explicação ou chegar num resultado que fosse satisfatório para ambas as partes, não recomendo.",Cancelaram a compra
33a3edb84b9df4cb49546859b990ac6d,1,Minha opinião é que se comprei o produto ele tinha que ser entregue e não receber um notificação que seria dado como entregue o produto...então a empresa me devolva meu dinheiro!!,Empres não confiável 
2f9476263ce8bf1f37045cff473fc886,1,"Cancelei o pedido e o mesmo não foi estornado. 
Obs: Já fazem 3 meses",Pedido 02-671663252 
905f7a43f18905597465564ae6deb958,1,Paguei por 2 unidades do Perfume Miss Gabriela Night e recebi apenas 1 unidade.,Recebi pedido incompleto
4c1beae7711b189eeb2b75d2e689a9c8,1,"comprei dois cartuchos de impressora que vieram embolorados, e falsificados.
e agora?",produto com defeito
46bd1a27e10461c5139b6c7fc349b6ec,2,foi pedido um ptoduto veio outro,ruim
84db939b1ab9686533e9a06a0354beb6,1,"a falta de respeito e considderação para com os clientes, essa perceira da das lannister, sempre comprei com as lannister, mais ultimentente não recomendo.
",atendimento ruim
52018484704db3661b98ce838612b507,1,"Achei o produto muito pequeno e onde fica a ""tela "" com os botões do microondas sai com facilidade. Não tem um bom encaixe...",Muito frágil !!!
565a7bc14e1f825b163c6a51d74f4206,1,Bom dia. Por favor pode me informar se vcs já me enviaram meu pedido de volta? Estou no aguardo. To precisando dessa mercadoria!,Regular
d51efba225d758550821c63b23bcf48b,1,o produto não funciona e não consigo falar na loja no site.preciso que me ajudem a trocar o produto.,o produto não funciona
ae0c769d416e6948678cba4fdf4f43c9,2,o produto não é original e não funciona com perfeição,não recomendo
23c6b96eb0aa6024129f306af7befe3e,1,"Comprei um par de cartuchos para impressora Hp122 como originais em tamanho XL, porém recebi um cartucho preeto que não imprimiu e segundo um tecnico de impressoras, não é original nem em tamanho XL",Não recomendo
9fce4af6a15c3fa67e2ee1b52839d6dc,1,Eu gostaria de saber aonde esta a minha garrafa da hello kitty ? ,
d7f71d136da2fa678c39380a22d117df,1,"Infelizmente o arejador não é articulado e nem 3/4, pois não coube na torneira do tanque.

Quanto a mangueira, ainda não testei. Espero que de certo.",O arejador veio errado
0b27e5029dd7bd0891b5da96fa33a93b,1,"apesar de entregar no prazo, este prazo é muito longo, não recomendo, além do mais o frete é um absurdo.",prazo
35bf7f86bc7add201e5b6573052157f0,1,Não veio a cor que solicitei marquei azul e veio vermelho estou insatisfeito com o vendedor gostaria de saber qual será a solução que vcs vão me dar,Mandaram a cor errada
829dd3ef512422255299763d6cce8f96,2,Só achei elas bem fraquinhas mesmo com o preço baixo achei que se tratava de uma promoção e não de toalhas pequenas e frágeis,
f2b05b43011210214069c513de56b6b0,1,"A compra desse item me lembra uma música:
""Não era amor era: C I L A D A""",Cadê meu produto? Acabou!
622f616838747771f377b27f47f2d21a,1,Preciso efetuar a troca enviei msg e nada de resposta,
8501926dd0837d694fc5af339c02a6b2,1,segunda vez que comprei o mesmo produto e nao recebi site ridiculo nao entrega o que vende quem quizer comprar compra sabendo que sao enganadores ,nao recomendo
aa258c22c28dfa03522e7997c426e627,1,Demora a entrega do produto,Ruim
e1618c8576ca46d8e460cd2219eb2750,1,Eu comprei um produto e me enviaram outro..estou insatisfeita...,
6282b84d6c369e1b6058285f860f4da4,1,Comprei mas nao veio entrega ainda queria dabe onde esta o produto,Luvas
73a15e8fc5de8485d1f16639bc66a273,1,"comprei tres rolos de papel de parede ,recebi somente 1 naoestou conseguindo entrar em contato",ruim
587e32dd528769d669d539531d32aeb5,1,Vc paga um frete caro e não entregam na sua casa.,Não compre
a61e700a88111a17f8158f275c06631d,1,"a impressora identificou os 2 cartuchos como não originais, as impressões estão com desempenho inferior",cartucho não original
e356148aef41329b41d13a234a0402db,1,"O produto veio com defeito. Solicitei a entrega e não obtive nenhuma resposta.
Horrível ",Produto veio com defeito 
