order_id,review_score,dominant_topic,topic_confidence,topic_label
64a9f2b487f66506d463ca18152280e8,1,4,0.023262158815811305,Defective / Wrong Item
ef32bb24f4e81a29a305e5285c8d3d34,1,3,0.012613255192459346,Delivery Delay
33a3edb84b9df4cb49546859b990ac6d,1,1,0.08087605617664463,Order Not Delivered
2f9476263ce8bf1f37045cff473fc886,1,4,0.009591687524365858,Defective / Wrong Item
905f7a43f18905597465564ae6deb958,1,4,0.019658813126568832,Defective / Wrong Item
4c1beae7711b189eeb2b75d2e689a9c8,1,4,0.049109198632882,Defective / Wrong Item
46bd1a27e10461c5139b6c7fc349b6ec,2,4,0.12888304044685317,Defective / Wrong Item
84db939b1ab9686533e9a06a0354beb6,1,4,0.03863224881818034,Defective / Wrong Item
52018484704db3661b98ce838612b507,1,4,0.010346469609116981,Defective / Wrong Item
565a7bc14e1f825b163c6a51d74f4206,1,3,0.026510359170518333,Delivery Delay
d51efba225d758550821c63b23bcf48b,1,4,0.028847647523751806,Defective / Wrong Item
ae0c769d416e6948678cba4fdf4f43c9,2,4,0.01914356536829718,Defective / Wrong Item
23c6b96eb0aa6024129f306af7befe3e,1,4,0.03294600066462853,Defective / Wrong Item
9fce4af6a15c3fa67e2ee1b52839d6dc,1,4,0.009731372738237501,Defective / Wrong Item
d7f71d136da2fa678c39380a22d117df,1,4,0.006909169087446646,Defective / Wrong Item
0b27e5029dd7bd0891b5da96fa33a93b,1,3,0.053541192691218625,Delivery Delay
35bf7f86bc7add201e5b6573052157f0,1,4,0.07661592099399672,Defective / Wrong Item
829dd3ef512422255299763d6cce8f96,2,4,0.007506861542073058,Defective / Wrong Item
f2b05b43011210214069c513de56b6b0,1,4,0.01385641595609954,Defective / Wrong Item
622f616838747771f377b27f47f2d21a,1,4,0.02135817183871558,Defective / Wrong Item
8501926dd0837d694fc5af339c02a6b2,1,3,0.040970910643334156,Delivery Delay
aa258c22c28dfa03522e7997c426e627,1,3,0.15125678654934935,Delivery Delay
e1618c8576ca46d8e460cd2219eb2750,1,4,0.062777183550446,Defective / Wrong Item
6282b84d6c369e1b6058285f860f4da4,1,4,0.0805907018826215,Defective / Wrong Item
73a15e8fc5de8485d1f16639bc66a273,1,4,0.03512690444984301,Defective / Wrong Item
587e32dd528769d669d539531d32aeb5,1,3,0.007019147738200348,Delivery Delay
a61e700a88111a17f8158f275c06631d,1,4,0.00818431050893064,Defective / Wrong Item
e356148aef41329b41d13a234a0402db,1,4,0.09478336085987092,Defective / Wrong Item
fb393211459aac00af932cd7ab4fa2cc,1,2,0.03440305024013009,Product Arrival Issues
869997fbe01f39d184956b5c6bccfdbe,1,4,0.03248673158332728,Defective / Wrong Item
0d3adebce4bebc1f80a7f36e9833f497,1,4,0.03248673158332728,Defective / Wrong Item
52b7fa35b1e5c8bdea5869804dced415,1,4,0.03248673158332728,Defective / Wrong Item
aa14b8f4567fef1be1a8912ca010f1c7,2,0,0.020966746620463318,Wrong / Incomplete Item
23878b3366bb97c4877f944c685fc546,1,4,0.089168817189864,Defective / Wrong Item
b77e196ee314322dcec6124fa3e38b6b,1,4,0.036914174977146455,Defective / Wrong Item
f30d59d024a381d49e85a1ecfe0d79c0,1,4,0.015250709982768777,Defective / Wrong Item
cd5343ffb012a7157ddbcf5720100c01,1,1,0.03544218835863279,Order Not Delivered
